0.000,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217
0.000,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209
0.000,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168
1.000,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260
0.000,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245
1.000,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
0.000,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237
1.000,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222
0.000,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245
0.000,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227
0.000,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217
0.000,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218
1.000,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192
0.000,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200
0.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216
0.000,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200
0.000,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209
0.000,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224
0.000,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207
1.000,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199
0.000,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168
1.000,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
0.000,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185
0.000,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222
0.000,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227
1.000,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217
1.000,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187
1.000,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218
0.000,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190
1.000,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199
0.000,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245
0.000,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175
0.000,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202
0.000,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203
1.000,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200
1.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209
0.000,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229
0.000,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216
1.000,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202
0.000,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185
1.000,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210
0.000,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227
1.000,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217
0.000,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218
1.000,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207
0.000,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199
1.000,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168
1.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260
1.000,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
0.000,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175
1.000,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237
1.000,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187
0.000,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168
1.000,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226
1.000,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210
0.000,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222
0.000,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158
0.000,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200
0.000,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218
0.000,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224
0.000,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207
1.000,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190
1.000,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192
1.000,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199
0.000,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260
0.000,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245
0.000,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227
1.000,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217
1.000,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187
1.000,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209
0.000,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168
1.000,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229
1.000,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186
1.000,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
1.000,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202
0.000,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185
1.000,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226
0.000,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158
0.000,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218
1.000,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224
0.000,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199
1.000,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
1.000,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175
1.000,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237
1.000,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210
0.000,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222
0.000,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245
1.000,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209
0.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190
0.000,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200
1.000,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260
0.000,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245
0.000,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226
1.000,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158
1.000,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187
0.000,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224
1.000,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192
0.000,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186
0.000,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216
1.000,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
1.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202
0.000,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203
1.000,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185
1.000,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237
0.000,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227
0.000,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200
1.000,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209
1.000,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200
1.000,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199
1.000,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199
0.000,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229
1.000,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226
0.000,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222
0.000,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200
0.000,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218
0.000,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200
0.000,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186
1.000,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
0.000,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202
0.000,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203
1.000,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199
0.000,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168
0.000,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175
0.000,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210
1.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222
0.000,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227
1.000,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200
0.000,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217
1.000,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200
0.000,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245
1.000,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186
1.000,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
0.000,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185
0.000,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226
0.000,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245
0.000,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158
0.000,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200
1.000,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187
0.000,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168
0.000,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222
0.000,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227
0.000,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217
1.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209
0.000,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168
0.000,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229
0.000,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186
0.000,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216
1.000,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237
0.000,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207
0.000,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245
1.000,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202
1.000,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175,0.474,13.100,29.200,0.251,0.476,14.100,72.300,0.222
1.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217
0.000,0.502,12.700,29.500,0.195,0.492,14.200,73.200,0.245,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224
1.000,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185,0.516,15.300,27.800,0.269,0.465,13.000,72.100,0.207
0.000,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190
1.000,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168,0.499,13.300,25.800,0.194,0.491,13.100,71.700,0.200
0.000,0.489,13.400,23.400,0.190,0.479,13.900,74.800,0.203,0.500,13.400,23.900,0.192,0.480,14.400,74.400,0.186
0.000,0.481,12.900,27.700,0.194,0.489,14.600,70.900,0.217,0.496,14.700,19.700,0.200,0.452,14.900,72.400,0.216
1.000,0.492,14.900,26.600,0.227,0.485,15.900,73.700,0.224,0.439,13.900,23.600,0.206,0.512,12.800,70.900,0.206
0.000,0.463,14.300,28.900,0.220,0.508,13.100,72.200,0.202,0.490,13.200,32.600,0.184,0.450,12.800,74.300,0.175
0.000,0.480,10.900,24.400,0.161,0.460,13.500,75.200,0.192,0.468,15.000,28.100,0.210,0.500,14.200,72.800,0.226
1.000,0.528,12.800,25.100,0.195,0.489,12.900,76.000,0.168,0.505,13.300,22.900,0.175,0.496,13.600,69.100,0.237
0.000,0.476,15.200,27.500,0.207,0.485,13.500,73.100,0.218,0.492,13.500,27.500,0.184,0.490,13.800,73.400,0.210
0.000,0.506,14.500,26.500,0.193,0.488,12.900,75.500,0.190,0.473,13.600,29.800,0.211,0.485,16.300,72.700,0.227
1.000,0.516,14.100,27.700,0.239,0.508,14.300,74.300,0.185,0.477,14.000,27.500,0.236,0.491,12.200,73.000,0.187
0.000,0.491,14.200,29.100,0.226,0.476,10.700,74.800,0.158,0.472,13.000,29.100,0.197,0.515,13.900,70.500,0.199
0.000,0.473,14.300,27.800,0.209,0.513,13.700,70.700,0.209,0.475,14.800,25.900,0.211,0.475,12.800,75.400,0.260
0.000,0.488,13.400,26.300,0.209,0.504,14.100,72.800,0.199,0.481,13.000,30.200,0.227,0.493,13.800,73.800,0.245
0.000,0.505,14.500,26.600,0.238,0.479,15.800,73.900,0.200,0.472,14.200,27.300,0.184,0.492,14.200,70.900,0.229
